id,doi,year,author,title,organism,phenomena,cited_by_count,n_citations,n_sci_citations,n_historiographic,n_same_organism_citations,n_parallels,n_parallel_same_organism,n_parallel_same_organism_uncited,parallels_total_estimate,convergence_axis,top_parallel_dois,rediscovery_verified,layer
85,10.1007/bf02266716,1913,Janda,FühlerÄhnliche Heteromorphosen an Stelle von Augen bei Stylopyga orientalis und Tenebrio molitor,Tenebrio molitor,heteromorphosis,7,7,7,0,2,3,0,0,3,C4 – Phenomenon only,,,Layer 1
86,10.1007/bf02266717,1913,Paul Kammerer,Vererbung erzwungener FarbverÄnderungen,Amphibia,inheritance_of_acquired,34,34,30,4,0,28,0,0,735,C3 – Related taxon active,,,Layer 2
87,10.1007/bf02266718,1913,Przibram,Die Kammerprogression der Foraminiferen als Parallele zur HÄutungsprogression der Mantiden,Fishes,developmental_mechanics,5,5,5,0,0,29,0,0,943018,C3 – Related taxon active,,,Layer 4
88,10.1007/bf02266719,1913,Uhlenhuth,Die synchrone Metamorphose transplantierter Salamanderaugen,Salamandra salamander,transplantation,31,31,31,0,1,24,4,4,145,C2 – Same genus active,10.3390/genes10110875; 10.3897/vz.68.e31600; 10.1038/hdy.2017.55; 10.1163/156853807782152543,,Layer 2
89,10.1007/bf02266720,1913,Walther,Die Umwelt des Keimplasmas,,developmental_mechanics,0,0,0,0,0,0,0,0,0,C5 – No modern parallel,,,none
90,10.1007/bf02287856,1912,Hammerschlag,Zuchtversuche mit japanischen Tanzmäusen und europäischen Laufmäusen,,,4,4,4,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
91,10.1007/bf02287857,1912,Janda,Die Regeneration der Geschlechtsorgane bei Criodrilus lacuum Hoffm. I,Annelida,"regeneration, sex_determination",9,9,9,0,0,30,0,0,1408,C3 – Related taxon active,,,Layer 2
92,10.1007/bf02287858,1912,Kammerer,"Experimente über Fortpflanzung, Farbe, Augen und Körperreduction bei Proteus anguinus Laur",Proteus anguinus,"regeneration, inheritance_of_acquired",27,27,25,2,6,26,16,16,4151,C1 – Same species active,10.5281/zenodo.7553719; 10.32022/phi29.2020.112-113.12; 10.3986/fbg0050; 10.1093/rb/rbac042; 10.5101/nbe.v13i1.p82-93,,Layer 1
93,10.1007/bf02287859,1912,Megusar,Experimente über den Farbwechsel der Crustaceen,Crustacea,color_change,40,40,39,1,0,27,0,0,4021,C3 – Related taxon active,,,Layer 2
94,10.1007/bf02287860,1912,Przibram,Die Umwelt des Keimplasmas,,developmental_mechanics,10,10,6,4,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
95,10.1007/bf02287861,1912,Secerov,Die Umwelt des Keimplasmas,Salamandra,developmental_mechanics,4,4,3,1,0,56,42,42,3560,C2 – Same genus active,10.1139/cjz-2024-0124; 10.1163/22244662-bja10122; 10.3390/pharmaceutics16020190; 10.1111/jeb.14155; 10.3390/d14060487,YES,Layer 4
96,10.1007/bf02287862,1912,Congdon,The surroundings of the germ plasm,Mammals,thermal_modification,15,15,14,1,0,30,0,0,279189,C3 – Related taxon active,,,Layer 2
97,10.1007/bf02287863,1912,Secerov,Weitere Farbwechsel- und Hauttransplantationsversuche an der Bartgrundel (Nemachilus barbatula L.),Fishes,"transplantation, color_change",10,10,10,0,0,29,0,0,68202,C3 – Related taxon active,,,Layer 2
98,10.1007/bf02287864,1912,Uhlenhuth,Die Transplantation des Amphibienauges,Amphibia,transplantation,28,28,28,0,0,27,0,0,748,C3 – Related taxon active,,,Layer 2
99,10.1007/bf02288308,1907,Czerny,Versuche Über Regeneration bei Süßwasser- und Nacktschnecken,slug gastropod,regeneration,7,7,7,0,0,53,43,43,5810,C2 – Same genus active,10.1093/g3journal/jkaf164; 10.1371/journal.pone.0312407; 10.1016/j.apsb.2023.01.008; 10.1016/j.flowmeasinst.2023.102335; 10.1080/15476286.2021.1898176,YES,Layer 2
100,10.1007/bf02288309,1907,Kammerer,Bastardierung von Flußbarsch (Perca fluviatilis L.) und Kaulbarsch (Acerina cernua L.),Perca fluviatilis,hybridization,9,9,9,0,2,30,20,19,883,C1 – Same species active,10.1111/jfb.15821; 10.3201/eid2712.210491; 10.1007/s00705-021-05167-y; 10.1007/s10499-021-00731-4; 10.1007/s42977-021-00087-z,,Layer 1
101,10.1007/bf02288310,1907,Klintz,Regeneration der Antenne bei der Kellerassel (Porcellio scaber Latr.),Porcellio scaber,regeneration,1,1,1,0,1,25,8,7,134,C1 – Same species active,10.3897/zookeys.1225.118414; 10.1016/j.biochi.2023.05.007; 10.14720/abs.64.1.15759; 10.1590/2358-2936e2020041; 10.1007/s00244-010-9474-9,,Layer 1
102,10.1007/bf02288311,1907,Kryz,Unabhängigkeit der Coagulationspunkte spezifischer Muskelplasmen von der Temperatur während des Lebens,Mus,thermal_modification,5,5,5,0,0,55,45,45,76934,C2 – Same genus active,10.30802/aalas-jaalas-23-000091; 10.1016/j.applanim.2021.105541; 10.1016/j.memsci.2021.119868; 10.20473/ovz.v10i1.2021.18-24; 10.3847/1538-4357/abde38,YES,Layer 4
103,10.1007/bf02288312,1907,Neudörfer,Versuche Über die Anpassung von Süßwasserfischen an Salzwasser,Fishes,salinity_osmotic,4,4,4,0,0,30,0,0,215613,C3 – Related taxon active,,,Layer 2
104,10.1007/bf02288313,1907,Hans Przibram,Differenzierung des Abdomens enthäuster Einsiedlerkrebse (Paguridae),Pagurus hermit crab,,5,5,5,0,0,50,50,50,4678,C2 – Same genus active,10.1016/j.marenvres.2016.11.011; 10.1016/j.jembe.2015.09.014; 10.1016/j.foodchem.2012.01.023; 10.1016/j.anbehav.2012.05.007; 10.1016/j.anbehav.2011.05.030,YES,Layer 2
105,10.1007/bf02288314,1907,Przibram,Automatischer Abwurf mißbildeter Regenerate bei Arthropoden,Crustacea,"regeneration, heteromorphosis",4,4,4,0,0,25,0,0,2690,C3 – Related taxon active,,,Layer 2
106,10.1007/bf02288315,1907,Przibram,"Aufzucht, Farbwechsel und Regeneration unsrer europäischen Gottesanbeterin (Mantis religiosa L.)",Mantis religiosa,"regeneration, color_change",7,7,7,0,3,20,10,10,1126,C2 – Same genus active,10.1016/j.bioactmat.2026.02.001; 10.1007/s42235-026-00926-6; 10.4314/met.v32i1.10; 10.1016/j.saa.2020.119223; 10.51200/jtbc.v16i0.2038,,Layer 2
107,10.1007/bf02288316,1907,Przibram,Regenerationsversuche allgemeinerer Bedeutung bei Borstenschwänzen (Lepismatidae),Mantis,regeneration,14,14,14,0,0,20,10,10,1126,C2 – Same genus active,10.1016/j.bioactmat.2026.02.001; 10.1007/s42235-026-00926-6; 10.4314/met.v32i1.10; 10.1016/j.saa.2020.119223; 10.51200/jtbc.v16i0.2038,YES,Layer 3
108,10.1007/bf02288317,1907,Weindl,Pigmententstehung auf Grund vorgebildeter Tyrosinasen,,pigmentation,14,14,14,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
109,10.1007/bf02288318,1907,Weiss (Otto),Regeneration und Autotomie bei der Wasserspinne (Argyroneta aquatica Cl.),Argyroneta aquatica,regeneration,6,6,6,0,1,11,1,1,14,C1 – Same species active,10.1002/ece3.70774,,Layer 2
110,10.1007/bf02288352,1910,Brescia,Experimentelle Untersuchungen über die sekundären Sexualcharaktere der Tritonen,Triton,sex_determination,21,21,21,0,3,46,44,44,1379,C2 – Same genus active (modern name),10.1093/gbe/evaf155; 10.1163/15685381-bja10082; 10.1080/03949370.2016.1236040; 10.1655/08-008.1; 10.1159/000133327,,Layer 3
111,10.1007/bf02288353,1910,Fröhlich,Farbwechselreaktionen bei Palaemon,Crustacea,color_change,13,13,13,0,0,27,0,0,4021,C3 – Related taxon active,,,Layer 2
112,10.1007/bf02288354,1910,Halban,Die Größenzunahme der Eier und Neugeborenen mit dem fortschreitenden Alter der Mutter,,growth,7,7,7,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
113,10.1007/bf02288355,1910,Kammerer,Vererbung erzwungener Farbveränderungen,Lacerta,inheritance_of_acquired,5,5,5,0,0,29,8,8,241,C2 – Same genus active,10.1111/mec.16723; 10.1038/s41598-019-57084-5; 10.1080/20423489.2017.1408189; 10.1186/1471-2148-13-192; 10.1186/1471-2148-11-170,YES,Layer 2
114,10.1007/bf02288356,1910,Megusar,"Regeneration der Fang-, Schreit- und Sprungbeine bei der Aufzucht von Orthopteren",Orthoptera / Mantis,regeneration,14,14,14,0,0,28,0,0,1486,C3 – Related taxon active,,,Layer 2
115,10.1007/bf02288357,1910,Przibram,Die Homoeosis bei Arthropoden,,heteromorphosis,13,13,13,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
116,10.1007/bf02288358,1910,Winkler,Studien über Pigmentbildung,Amphibia,"transplantation, pigmentation",26,26,26,0,0,27,0,0,748,C3 – Related taxon active,,,Layer 2
117,10.1007/bf02288359,1910,Zuelzer,Der Einfluß des Meerwassers auf die pulsierende Vacuole,,salinity_osmotic,9,9,9,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
118,10.1007/bf02292159,1907,Gluschkiewitsch,Regeneration des Vorder- und Hinterendes der Clepsine tessulata,Clepsine tessulata,regeneration,2,2,2,0,0,30,7,7,207,C2 – Same genus active (modern name),10.1242/jeb.247419; 10.1371/journal.pone.0214581; 10.1371/journal.pone.0204234; 10.1002/dvdy.24621; 10.1093/molbev/mst201,YES,Layer 4
119,10.1007/bf02292160,1907,Paul Kammerer,Vererbung erzwungener Fortpflanzungsanpassungen,Amphibia,inheritance_of_acquired,34,34,27,7,0,28,0,0,735,C3 – Related taxon active,,,Layer 3
120,10.1007/bf02292161,1907,Kammerer,Symbiose zwischen Libellenlarve und Fadenalge,Odonata dragonfly larva,,5,5,4,1,0,47,47,47,18332,C2 – Same genus active,10.1016/j.ympev.2021.107115; 10.1007/s13744-019-00672-x; 10.1007/s10750-017-3495-6; 10.1007/s10841-018-0093-5; 10.1016/j.ecolind.2017.06.010,YES,Layer 4
121,10.1007/bf02292162,1907,Kammerer,Regeneration sekundärer Sexualcharaktere bei den Amphibien,Amphibia,"regeneration, sex_determination",5,5,4,1,0,29,0,0,1767,C3 – Related taxon active,,,Layer 2
122,10.1007/bf02292163,1907,Klintz,Versuche über das geringe Regenerationsvermögen der Cyclopiden,Crustacea,"regeneration, sex_determination",3,3,3,0,0,25,0,0,2690,C3 – Related taxon active,,,Layer 2
123,10.1007/bf02292164,1907,Megusar,Regeneration der Tentakel und des Auges bei der Spitzschlammschnecke (Limnaea stagnalis L.),Limnaea stagnalis,regeneration,5,5,5,0,0,54,40,40,652,C2 – Same genus active (modern name),10.1016/j.nlm.2025.108048; 10.1002/etc.5728; 10.1159/000527489; 10.1007/s43939-021-00007-x; 10.1186/s12864-020-07287-2,YES,Layer 2
124,10.1007/bf02292165,1907,Megusar,Regeneration des Caudalhorns bei der Seidenspinnerraupe Bombyx mori L.),Bombyx mori,regeneration,2,2,2,0,0,49,48,48,4313,C1 – Same species active,10.2478/aut-2021-0059; 10.3389/fbioe.2021.653033; 10.1038/s41598-019-38712-6; 10.1186/s13065-019-0583-x; 10.1177/0885328219844978,YES,Layer 3
125,10.1007/bf02292166,1907,Megusar,Die Regeneration der Coleopteren,Coleoptera (beetles),regeneration,23,23,23,0,0,28,0,0,4667,C3 – Related taxon active,,,Layer 3
126,10.1007/bf02292167,1907,Muftic,Die Lungenregeneration bei Salamandra maculosa und einigen andern Amphibien,Salamandra maculosa,regeneration,4,4,4,0,0,30,7,7,410,C2 – Same genus active,10.1038/s41597-023-02217-9; 10.13128/acta_herpetol-12065; 10.13128/acta_herpetol-20147; 10.1038/hdy.2017.55; 10.1371/journal.pone.0128077,YES,Layer 3
127,10.1007/bf02292168,1907,Przibram,Vererbungsversuche über asymmetrische Augenfärbung bei Angorakatzen,Mammals,,21,21,20,1,0,30,0,0,726606,C3 – Related taxon active,,,Layer 2
128,10.1007/bf02292169,1907,Hans Przibram,Die »Scherenumkehr« bei decapoden Crustaceen (zugleich: Experimentelle Studien über Regeneration. Vierte Mitteilung),Crustacea,regeneration,10,10,10,0,0,25,0,0,2690,C3 – Related taxon active,,,Layer 4
129,10.1007/bf02292170,1907,Werber,Regeneration der exstirpierten Flügel beim Mehlkäfer (Tenebrio molitor),Tenebrio molitor,regeneration,8,8,8,0,0,33,23,23,881,C1 – Same species active,10.3390/foods14020217; 10.3390/app15179285; 10.1002/jat.4764; 10.1007/s00441-024-03877-8; 10.1016/j.jclepro.2024.142608,YES,Layer 4
130,10.1007/bf02292171,1907,Kammerer,Regeneration des Dipterenflügels beim Imago,Salamandra,regeneration,7,7,6,1,0,17,7,7,410,C2 – Same genus active,10.1038/s41597-023-02217-9; 10.13128/acta_herpetol-12065; 10.13128/acta_herpetol-20147; 10.1038/hdy.2017.55; 10.1371/journal.pone.0128077,YES,Layer 4
131,10.1007/bf02292172,1907,Zuelzer,Über den Einfluß der Regeneration auf die Wachstumsgeschwindigkeit von Asellus aquaticus L.,,"regeneration, growth",11,11,11,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
132,10.1007/bf02292208,1912,Janda,Die Regeneration der Geschlechtsorgane bei Criodrilus lacuum Hoffm. II,Annelida,"regeneration, sex_determination",8,8,7,1,0,30,0,0,1408,C3 – Related taxon active,,,Layer 2
133,10.1007/bf02292209,1912,Kurz,Die beinbildenden Potenzen entwickelter Tritonen,Triton,,28,28,28,0,4,50,49,49,5341,C2 – Same genus active (modern name),10.1016/j.ympev.2018.12.032; 10.1002/ece3.4013; 10.1016/j.biocon.2014.11.029; 10.1111/bij.12358; 10.1186/1742-9994-10-13,,Layer 4
134,10.1007/bf02292210,1912,Morgulis,Studien über Inanition in ihrer Bedeutung für das Wachstumsproblem,Triturus,growth,7,7,7,0,0,50,42,42,2010,C2 – Same genus active,10.1163/15685381-bja10082; 10.24189/ncr.2021.033; 10.23880/izab-16000306; 10.1007/s10592-020-01266-6; 10.1007/s12038-019-9950-y,YES,Layer 4
135,10.1007/bf02292211,1912,Przibram/Megusar,Wachstumsmessungen an Sphodromantis bioculata Burm,Sphodromantis bioculata,growth,60,60,55,5,5,24,2,2,33,C2 – Same genus active,10.1186/s13568-025-01908-3; 10.3897/jor.32.96183,,Layer 1
136,10.1007/bf02292212,1912,Secerov,Die Umwelt des Keimplasmas,Lacerta,"sex_determination, developmental_mechanics",4,4,3,1,0,52,47,47,2222,C2 – Same genus active,10.1002/ar.25099; 10.1159/000506321; 10.1038/s41598-019-57084-5; 10.1163/15685381-bja10018; 10.13128/acta_herpetol-8532,YES,Layer 2
137,10.1007/bf02292745,1914,Klintz,Experimentelle Schwanzregeneration bei Bilchen (Myoxidae) und einigen andern Säugern,,regeneration,1,1,1,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
138,10.1007/bf02292746,1914,Kornfeld,Abhängigkeit der metamorphotischen Kiemenrückbildung vom Gesamtorganismus der Salamandra maculosa,Salamandra maculosa,transplantation,15,15,15,0,1,24,4,4,145,C2 – Same genus active,10.3390/genes10110875; 10.3897/vz.68.e31600; 10.1038/hdy.2017.55; 10.1163/156853807782152543,,Layer 1
139,10.1007/bf02292747,1914,Przibram/Walther,Keine Größenzunahme der frischgeschlüpften Sphodromantis mit dem Alter der Mutter,Sphodromantis,,0,0,0,0,0,42,35,35,207,C2 – Same genus active,10.1038/s41598-025-06427-6; 10.1242/jeb.249296; 10.1186/s13568-025-01908-3; 10.3897/jor.32.96183; 10.17159/2254-8854/2022/a13967,YES,none
140,10.1007/bf02292748,1914,Sztern,Wachstumsmessungen an Sphodromantis bioculata Burm,Sphodromantis bioculata,growth,17,17,17,0,2,24,2,2,33,C2 – Same genus active,10.1186/s13568-025-01908-3; 10.3897/jor.32.96183,,Layer 4
141,10.1007/bf02292958,1924,Brecher,"Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L",Pieris brassicae,,16,16,16,0,3,49,43,43,34089,C1 – Same species active,10.7554/elife.60293; 10.1016/j.bjm.2016.08.004; 10.1093/jxb/eru096; 10.1093/jxb/ers362; 10.1016/j.cropro.2010.11.029,,Layer 4
142,10.1007/bf02292959,1924,Leonore Brecher,"Die Puppentärbungen der Vanessiden (Vanessa Io, V. utricae)",Vanessa,,5,5,5,0,0,49,49,49,83020,C2 – Same genus active,10.1073/pnas.2218280120; 10.1016/j.ygeno.2022.110481; 10.1073/pnas.2112009118; 10.3390/su132313214; 10.2196/games.9611,YES,Layer 2
143,10.1007/bf02292960,1924,Leonore Brecher,Die Bedingungen für Fühlerfüße bei Dixippus (Carausius) morosus Br. et Redt,Dixippus,,7,7,7,0,3,49,49,49,1000,C2 – Same genus active (modern name),10.3389/fnbot.2023.1125171; 10.1016/j.jmgm.2020.107720; 10.1021/acs.jproteome.8b00155; 10.1002/arch.21469; 10.1242/jeb.173047,,Layer 1
144,10.1007/bf02292961,1924,Ehrenpreis,Milztransplantation an arterwachsenen Urodelen,,transplantation,1,1,1,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
145,10.1007/bf02292962,1924,Hans Przibram,"Die virtuelle und reelle Lage des Amphibienembryos nach natürlichen und künstlichen Marken am Ei des Alpenmolches, Triton alpestris",Triton alpestris,developmental_mechanics,1,1,1,0,0,52,52,52,2924,C2 – Same genus active (modern name),10.1016/j.aanat.2023.152097; 10.7717/peerj.11535; 10.1111/acv.12733; 10.1111/evo.13743; 10.1016/j.cub.2018.12.049,YES,Layer 4
146,10.1007/bf02292963,1924,Przibram,Achsenverhältnisse und Entwicklungspotenzen der Urodelenextremitäten an Modellen zu Harrisons Transplantationsversuchen,Amphibia,"transplantation, developmental_mechanics",6,6,6,0,0,27,0,0,748,C3 – Related taxon active,,,Layer 2
147,10.1007/bf02292964,1924,Hans Przibram,Die Rolle der Dopa in den Kokonen gewisser Nachtfalter und Blattwespen mit Bemerkungen über die chemischen Orte der Melaninbildung,Fishes,pigmentation,11,11,11,0,0,27,0,0,24516,C3 – Related taxon active,,,Layer 2
148,10.1007/bf02292965,1924,Weiss,Die Funktion transplantierter Amphibienextremitäten,Amphibia,"regeneration, transplantation",42,42,41,1,0,29,0,0,1767,C3 – Related taxon active,,,Layer 2
149,10.1007/bf02292966,1924,Paul Weiß,Regeneration an transplantierten Extremitäten entwickelter Amphibien,Amphibia,"regeneration, transplantation",20,20,20,0,0,29,0,0,1767,C3 – Related taxon active,,,Layer 2
150,10.1007/bf02292967,1924,Theodor Koppányi,Erhaltung der Spermatogenese im autophor transplantierten Urodelenhoden,Amphibia,"transplantation, sex_determination",8,8,8,0,0,27,0,0,748,C3 – Related taxon active,,,Layer 2
151,10.1007/bf02292968,1924,Koppanyi,Versuche zur Biologie des Rippenmolches Pleurodeles Waltli Michah,Pleurodeles,morphology,0,0,0,0,0,52,36,36,796,C2 – Same genus active,10.5358/hsj.44.55; 10.3390/d15020188; 10.1016/j.diff.2023.02.003; 10.1111/dgd.12820; 10.24272/j.issn.2095-8137.2021.186,YES,none
152,10.1007/bf02292969,1924,Przibram / Wiesner,Erhöhung der Körpertemperatur junger Wanderratten (Mus decumanus) über den Normalwert und ihr Einfluß auf die Schwanzlänge,Mus decumanus,"thermal_modification, developmental_mechanics",0,0,0,0,0,56,45,45,76934,C2 – Same genus active,10.30802/aalas-jaalas-23-000091; 10.1016/j.applanim.2021.105541; 10.1016/j.memsci.2021.119868; 10.20473/ovz.v10i1.2021.18-24; 10.3847/1538-4357/abde38,YES,none
153,10.1007/bf02554396,1919,Przibram,Tierische Regeneration als Wachstumsbeschleunigung,,"regeneration, growth",18,18,18,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
154,10.1007/bf02554397,1919,Hans Przibram,Fangbeine als Regenerate,Mantis,"regeneration, heteromorphosis",8,8,8,0,1,20,10,10,1126,C2 – Same genus active,10.1016/j.bioactmat.2026.02.001; 10.1007/s42235-026-00926-6; 10.4314/met.v32i1.10; 10.1016/j.saa.2020.119223; 10.51200/jtbc.v16i0.2038,,Layer 2
155,10.1007/bf02554398,1919,Przibram,Fußglieder an Käferfühlern,,heteromorphosis,4,4,4,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
156,10.1007/bf02554400,1919,Przibram/Brecher,Ursachen tierischer Farbkleidung,,pigmentation,34,34,34,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
157,10.1007/bf02554401,1919,Przibram,Ursachen tierischer Farbkleidung,Mantis,,20,20,20,0,0,44,44,44,16910,C2 – Same genus active,10.1051/0004-6361/202244968; 10.1051/0004-6361/202245121; 10.1016/j.matt.2021.07.012; 10.1126/sciadv.abe3196; 10.1063/1.5115569,YES,Layer 4
158,10.1007/bf02554402,1919,Przibram/Dembowski,Konservierung der Tyrosinase durch Luftabschluß,Fishes,"pigmentation, light_effects",16,16,16,0,0,27,0,0,24516,C3 – Related taxon active,,,Layer 2
159,10.1007/bf02554403,1919,Brecher,"Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L.",Pieris brassicae,light_effects,23,23,23,0,8,60,46,46,11764,C1 – Same species active,10.1016/j.cropro.2024.106623; 10.1134/s1062359023601477; 10.22271/j.ento.2020.v8.i4m.7206; 10.7554/elife.60293; 10.1093/jxb/eru096,,Layer 4
160,10.1007/bf02554404,1919,Kammerer,Vererbung erzwungener Formveränderungen,Alytes,inheritance_of_acquired,11,11,3,8,0,10,0,0,70,C4 – Phenomenon only,,,Layer 4
161,10.1007/bf02554409,1919,Eduard Uhlenhuth,"Studien zur Linsenregeneration bei den Amphibien. I. Ein Beitrag zur Depigmentierung der Iris, mit Bemerkungen über den Wert der Reizphysiologie",Amphibia,"regeneration, pigmentation",11,11,11,0,0,29,0,0,1767,C3 – Related taxon active,,,Layer 2
162,10.1007/bf02554414,1920,Kolmer,Über den Befund einer zweiten Linse (Spontanlentoidbildung) im Auge eines Welses,Annelida,"growth, developmental_mechanics",5,5,5,0,0,30,0,0,5830,C3 – Related taxon active,,,Layer 3
163,10.1007/bf02554415,1920,Demoll,Zur Frage nach der Vererbung vom Soma erworbener Eigenschaften,,,5,5,5,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
164,10.1007/bf02554416,1920,Steinach,Künstliche und natürliche Zwitterdrüsen und ihre analogen Wirkungen,,sex_determination,28,28,28,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
165,10.1007/bf02554417,1920,Steinach,Histologische Beschaffenheit der Keimdrüse bei homosexuellen Männern,,sex_determination,26,26,26,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
166,10.1007/bf02554418,1920,Stieve,Das Skelett eines Teilzwitters,,"sex_determination, morphology",5,5,5,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
167,10.1007/bf02554419,1920,Erdmann,Endomixis and size variations in pure bred lines of paramaecium aurelia,Protozoa,,18,18,18,0,0,30,0,0,98250,C3 – Related taxon active,,,Layer 4
168,10.1007/bf02554420,1920,Uhlenhuth,Studien zur Linsenregeneration bei den Amphibien,Amphibia,"regeneration, pigmentation",11,11,11,0,0,29,0,0,1767,C3 – Related taxon active,,,Layer 2
169,10.1007/bf02554426,1920,Steinach/Kammerer,Klima und Mannbarkeit,,"transplantation, sex_determination",20,20,17,3,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
170,10.1007/bf02554478,1921,Brecher,"Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L. Fünfter Teil: Kontrollversuche zur spezifischen Wirkung der Spektralbezirke mit anderen Faktoren",Pieris brassicae,"thermal_modification, light_effects",11,11,11,0,7,59,54,54,11878,C1 – Same species active,10.18782/2320-7051.5925; 10.3329/sja.v15i1.33147; 10.3389/fphys.2016.00096; 10.1371/journal.pone.0090026; 10.1093/jxb/eru096,,Layer 2
171,10.1007/bf02554479,1921,Brecher,"Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L. Sechster Teil: Chemismus der Farbanpassung",Pieris brassicae,pigmentation,10,10,10,0,5,34,18,18,593,C1 – Same species active,10.1371/journal.pone.0090026; 10.1016/j.phytochem.2006.10.020; 10.1111/j.1570-7458.2005.00330.x; 10.64898/2026.02.11.705400; 10.5281/zenodo.18864784,,Layer 1
172,10.1007/bf02554480,1921,Przibram/Dembowski/Brecher,Einwirkung der Tyrosinase auf “Dopa” (zugleich: Ursachen tierischer Farbkleidung. IV),Amphibia,"pigmentation, behavior",20,20,19,1,0,29,0,0,951,C3 – Related taxon active,,,Layer 2
173,10.1007/bf02554481,1921,Przibram,"Temperaturunabhängigkeit der weiblichen Periode und Gravidität bei Ratten, Mus decumanus und M. rattus",Mus decumanus,thermal_modification,2,2,2,0,1,56,45,45,76934,C2 – Same genus active,10.30802/aalas-jaalas-23-000091; 10.1016/j.applanim.2021.105541; 10.1016/j.memsci.2021.119868; 10.20473/ovz.v10i1.2021.18-24; 10.3847/1538-4357/abde38,,Layer 1
174,10.1007/bf02554482,1921,Przibram,Die Bruch-Dreifachbildung im Tierreiche,Crustacea,,44,44,44,0,0,27,0,0,63586,C3 – Related taxon active,,,Layer 2
175,10.1007/bf02554483,1921,Przibram,Form und Geschwindigkeit. Ein Beitrag zur allgemeinen Morphologie. Die Naturwissenschaften,Annelida,"light_effects, morphology",0,0,0,0,0,30,0,0,5276,C3 – Related taxon active,,,none
